#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_relaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:C:E:A:D:B:F	0.6462	0.9864	1.20	0.642	0.983	0.983	1356	885	885
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.r1.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:E:A:C:F:D:B	0.6405	0.9748	1.70	0.626	0.959	0.959	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.r2.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:A:C:E:B:F:D	0.6441	0.9821	1.39	0.642	0.983	0.983	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.r3.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:A:C:E:B:F:D	0.6466	0.9872	1.16	0.642	0.983	0.983	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.r4.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:A:C:E:B:F:D	0.6471	0.9883	1.11	0.644	0.986	0.986	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.r5.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:C:E:A:D:B:F	0.6467	0.9873	1.16	0.642	0.983	0.983	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:C:E:A:D:F:B	0.6460	0.9860	1.25	0.633	0.969	0.969	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r0.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:A:C:E:B:D:F	0.6087	0.9106	3.33	0.644	0.986	0.986	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r1.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:A:C:E:B:D:F	0.6434	0.9807	1.46	0.628	0.963	0.963	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r2.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:C:E:A:D:F:B	0.6301	0.9614	1.73	0.608	0.932	0.952	1356	885	867
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r3.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:C:E:A:D:F:B	0.6485	0.9913	0.96	0.628	0.963	0.963	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r4.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:A:C:E:B:D:F	0.6467	0.9875	1.16	0.628	0.963	0.963	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r5.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:C:E:A:D:F:B	0.6460	0.9860	1.25	0.633	0.969	0.969	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:A:C:E:D:F:B	0.6471	0.9882	1.12	0.633	0.969	0.969	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r0.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:E:C:A:D:F:B	0.2273	0.3210	8.40	0.136	0.209	0.434	1356	885	426
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r1.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:A:C:E:D:F:B	0.6329	0.9601	2.27	0.628	0.963	0.963	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r2.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:E:A:C:B:D:F	0.6434	0.9809	1.48	0.642	0.983	0.983	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r3.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:C:E:A:F:B:D	0.6458	0.9855	1.25	0.637	0.976	0.976	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r4.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:E:A:C:B:D:F	0.6465	0.9871	1.18	0.637	0.976	0.976	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r5.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:A:C:E:D:F:B	0.6471	0.9882	1.12	0.633	0.969	0.969	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:C:E:A:D:F:B	0.6459	0.9858	1.23	0.633	0.969	0.969	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_000.r0.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:E:A:C:F:B:D	0.5031	0.7306	6.38	0.445	0.682	0.726	1356	885	832
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_000.r1.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:C:E:A:D:F:B	0.6397	0.9734	1.77	0.634	0.972	0.972	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_000.r2.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:A:C:E:B:D:F	0.6390	0.9733	1.87	0.611	0.936	0.938	1356	885	883
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_000.r3.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:C:E:A:D:F:B	0.6449	0.9836	1.33	0.633	0.969	0.969	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_000.r4.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:C:E:A:D:F:B	0.6453	0.9845	1.29	0.636	0.974	0.974	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_000.r5.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:C:E:A:D:F:B	0.6459	0.9858	1.23	0.633	0.969	0.969	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:E:C:A:F:B:D	0.6449	0.9840	1.39	0.642	0.983	0.983	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.r0.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:C:B:E:D:F:A	0.2553	0.3603	8.30	0.105	0.162	0.300	1356	885	477
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.r1.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:A:E:C:B:D:F	0.6376	0.9692	1.93	0.643	0.985	0.985	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.r2.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:E:C:A:F:B:D	0.6429	0.9798	1.53	0.616	0.944	0.944	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.r3.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:E:C:A:F:B:D	0.6431	0.9803	1.52	0.617	0.946	0.946	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.r4.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:C:A:E:D:F:B	0.6437	0.9815	1.47	0.617	0.946	0.946	1356	885	885
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.r5.pdb:A:B:C:D:E:F	reference_structures/6bp2_clean.pdb:E:C:A:F:B:D	0.6449	0.9840	1.39	0.642	0.983	0.983	1356	885	885
