#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_relaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:B:C:A:::	0.0741	0.2607	5.06	0.010	0.040	0.113	1356	325	115
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r2.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:B:A:C:::	0.0739	0.2617	4.98	0.004	0.015	0.044	1356	325	114
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r3.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:B:A:C:::	0.0735	0.2608	4.88	0.004	0.015	0.044	1356	325	113
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r4.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:B:A:C:::	0.0738	0.2614	4.99	0.004	0.015	0.044	1356	325	114
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r5.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:B:C:A:::	0.0681	0.2348	5.73	0.005	0.022	0.064	1356	325	109
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B:::	0.0740	0.2618	4.85	0.004	0.015	0.044	1356	325	114
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r0.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A:::	0.0615	0.2001	6.20	0.004	0.015	0.049	1356	325	102
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r1.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:C:A:B:::	0.0709	0.2447	5.61	0.002	0.009	0.027	1356	325	113
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r2.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:B:C:::	0.0696	0.2415	5.45	0.005	0.022	0.064	1356	325	110
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r3.pdb:B:D:F:A:C:E	reference_structures/4g2k_clean.pdb:A:C:B:::	0.0704	0.2258	6.14	0.004	0.018	0.051	1356	325	117
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r4.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:B:C:::	0.0701	0.2420	5.74	0.005	0.022	0.062	1356	325	112
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r5.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B:::	0.0740	0.2618	4.85	0.004	0.015	0.044	1356	325	114
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_000.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:B:C:A:::	0.0704	0.2388	5.67	0.005	0.022	0.062	1356	325	113
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_000.r0.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B:::	0.0762	0.2615	5.21	0.007	0.031	0.083	1356	325	120
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_000.r1.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:B:A:C:::	0.0736	0.2600	4.80	0.007	0.028	0.080	1356	325	113
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_000.r2.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:C:A:B:::	0.0716	0.2419	5.91	0.003	0.012	0.034	1356	325	116
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_000.r3.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:C:A:B:::	0.0706	0.2401	5.62	0.007	0.028	0.080	1356	325	113
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_000.r4.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:B:C:::	0.0687	0.2365	5.53	0.006	0.025	0.073	1356	325	109
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_000.r5.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:B:C:A:::	0.0704	0.2388	5.67	0.005	0.022	0.062	1356	325	113
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:B:C:A:::	0.0680	0.2324	5.70	0.007	0.028	0.083	1356	325	109
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.r0.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A:::	0.0729	0.2425	5.34	0.008	0.034	0.095	1356	325	116
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.r1.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:B:C:::	0.0715	0.2420	5.98	0.004	0.018	0.052	1356	325	116
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.r2.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:B:A:C:::	0.0743	0.2626	5.02	0.004	0.015	0.043	1356	325	115
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.r3.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B:::	0.0743	0.2624	5.02	0.004	0.015	0.043	1356	325	115
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.r4.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B:::	0.0738	0.2609	4.99	0.004	0.015	0.044	1356	325	114
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/default/MARV_6BP2_RAVN-87_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.r5.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:B:C:A:::	0.0680	0.2324	5.70	0.007	0.028	0.083	1356	325	109
