#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_relaxed_rank_001_alphafold2_multimer_v3_model_4_seed_000.pdb:A:B:C	reference_structures/5omi_clean.pdb:A:C:B	0.0879	0.3059	5.69	0.010	0.046	0.099	1455	325	152
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.pdb:A:B:C	reference_structures/5omi_clean.pdb:B:C:A	0.0678	0.2424	5.58	0.003	0.015	0.043	1455	325	116
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.r0.pdb:A:B:C	reference_structures/5omi_clean.pdb:B:A:C	0.1041	0.3480	6.17	0.005	0.025	0.043	1455	325	185
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.r1.pdb:A:B:C	reference_structures/5omi_clean.pdb:A:B:C	0.0708	0.2485	5.90	0.006	0.028	0.073	1455	325	123
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.r2.pdb:A:B:C	reference_structures/5omi_clean.pdb:C:A:B	0.0758	0.2366	7.40	0.003	0.015	0.034	1455	325	145
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.r3.pdb:A:B:C	reference_structures/5omi_clean.pdb:C:A:B	0.0756	0.2471	6.61	0.005	0.022	0.051	1455	325	138
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.r4.pdb:A:B:C	reference_structures/5omi_clean.pdb:B:C:A	0.0906	0.3122	5.70	0.004	0.018	0.038	1455	325	157
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/JUNV/wTemp_all/JUNV_NP899218_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.r5.pdb:A:B:C	reference_structures/5omi_clean.pdb:B:C:A	0.0678	0.2424	5.58	0.003	0.015	0.043	1455	325	116
