#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_relaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:c:C:a:A:B:b	0.2399	0.1189	6.92	0.021	0.009	0.059	519	1224	188
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.r4.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:a:A:b:B:C:c	0.2157	0.1105	7.30	0.013	0.006	0.038	519	1224	182
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:c:a:b:A:B:C	0.2336	0.1205	7.56	0.025	0.011	0.064	519	1224	202
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.r0.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:b:c:B:A:C:a	0.2014	0.1056	7.92	0.010	0.004	0.027	519	1224	182
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.r1.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:a:C:c:A:B:b	0.2382	0.1231	7.69	0.050	0.021	0.125	519	1224	208
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.r2.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:A:a:b:B:C:c	0.2197	0.1158	8.08	0.021	0.009	0.054	519	1224	202
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.r3.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:c:a:b:A:B:C	0.2398	0.1239	7.58	0.019	0.008	0.048	519	1224	208
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.r4.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:a:b:c:A:B:C	0.2423	0.1250	7.58	0.025	0.011	0.062	519	1224	210
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.r5.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:c:a:b:A:B:C	0.2336	0.1205	7.56	0.025	0.011	0.064	519	1224	202
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:a:c:b:A:B:C	0.2353	0.1217	7.57	0.025	0.011	0.064	519	1224	204
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r0.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:c:C:a:A:B:b	0.2117	0.1101	7.89	0.042	0.018	0.117	519	1224	188
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r1.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:A:b:a:B:C:c	0.2258	0.1178	7.71	0.031	0.013	0.080	519	1224	200
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r2.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:A:b:a:B:C:c	0.2366	0.1210	7.13	0.027	0.011	0.071	519	1224	198
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r3.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:b:a:A:B:C:c	0.2375	0.1220	7.50	0.046	0.020	0.118	519	1224	203
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r4.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:a:b:c:A:B:C	0.2455	0.1285	7.83	0.039	0.016	0.091	519	1224	220
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r5.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:a:c:b:A:B:C	0.2353	0.1217	7.57	0.025	0.011	0.064	519	1224	204
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:a:b:A:B:C:c	0.2356	0.1223	7.64	0.019	0.008	0.048	519	1224	207
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.r0.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:b:A:a:B:C:c	0.1976	0.1011	7.34	0.021	0.009	0.066	519	1224	167
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.r1.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:b:A:a:B:C:c	0.2394	0.1236	7.54	0.029	0.012	0.072	519	1224	207
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.r2.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:b:B:a:A:C:c	0.2312	0.1166	7.17	0.025	0.011	0.069	519	1224	189
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.r3.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:c:b:a:A:B:C	0.2390	0.1245	7.74	0.019	0.008	0.047	519	1224	212
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.r4.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:b:A:a:B:C:c	0.2343	0.1227	7.79	0.019	0.008	0.048	519	1224	210
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.r5.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:a:b:A:B:C:c	0.2356	0.1223	7.64	0.019	0.008	0.048	519	1224	207
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:a:b:A:B:C:c	0.2307	0.1140	6.51	0.025	0.011	0.073	519	1224	177
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_000.r0.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:a:C:c:A:B:b	0.2573	0.1313	7.47	0.031	0.013	0.074	519	1224	217
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_000.r1.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:a:C:c:A:B:b	0.2455	0.1211	6.42	0.021	0.009	0.059	519	1224	187
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_000.r2.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:a:C:c:A:B:b	0.2513	0.1289	7.37	0.019	0.008	0.047	519	1224	213
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_000.r3.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:a:b:A:B:C:c	0.2434	0.1211	6.77	0.031	0.013	0.084	519	1224	191
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_000.r4.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:b:c:B:A:C:a	0.2441	0.1203	6.59	0.025	0.011	0.070	519	1224	187
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_005_alphafold2_multimer_v3_model_1_seed_000.r5.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:a:b:A:B:C:c	0.2307	0.1140	6.51	0.025	0.011	0.073	519	1224	177
