#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_relaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A	0.4856	0.8971	1.17	0.368	0.686	0.746	606	325	299
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.pdb:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A	0.4851	0.8955	1.20	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.r0.pdb:A:B:C	reference_structures/4g2k_clean.pdb:B:A:C	0.4853	0.8965	1.19	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.r1.pdb:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B	0.4866	0.9001	1.09	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.r2.pdb:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B	0.4848	0.8947	1.23	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.r3.pdb:A:B:C	reference_structures/4g2k_clean.pdb:B:A:C	0.4851	0.8956	1.20	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.r4.pdb:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A	0.4847	0.8946	1.23	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_002_alphafold2_multimer_v3_model_4_seed_000.r5.pdb:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A	0.4851	0.8955	1.20	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B	0.4862	0.8988	1.11	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.r0.pdb:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B	0.4826	0.8916	1.89	0.368	0.686	0.743	606	325	300
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.r1.pdb:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B	0.4863	0.8993	1.12	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.r2.pdb:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B	0.4863	0.8991	1.11	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.r3.pdb:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A	0.4861	0.8983	1.12	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.r4.pdb:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A	0.4870	0.9001	1.28	0.368	0.686	0.743	606	325	300
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.r5.pdb:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B	0.4862	0.8988	1.11	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_000.pdb:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A	0.4862	0.8988	1.12	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_000.r0.pdb:A:B:C	reference_structures/4g2k_clean.pdb:B:A:C	0.4936	0.9114	2.14	0.368	0.686	0.724	606	325	308
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_000.r1.pdb:A:B:C	reference_structures/4g2k_clean.pdb:B:A:C	0.4863	0.8992	1.12	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_000.r2.pdb:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B	0.4867	0.9002	1.07	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_000.r3.pdb:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B	0.4875	0.9005	1.44	0.368	0.686	0.741	606	325	301
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_000.r4.pdb:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A	0.4844	0.8942	1.29	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_004_alphafold2_multimer_v3_model_5_seed_000.r5.pdb:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A	0.4862	0.8988	1.12	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A	0.4869	0.9006	1.06	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.r0.pdb:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B	0.4899	0.9042	1.90	0.368	0.686	0.731	606	325	305
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.r1.pdb:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A	0.4862	0.8990	1.13	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.r2.pdb:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B	0.4860	0.8983	1.14	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.r3.pdb:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B	0.4864	0.8993	1.11	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.r4.pdb:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B	0.4867	0.9003	1.07	0.368	0.686	0.746	606	325	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/MARV/wTemp_post/MARV_6BP2_RAVN-87_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.r5.pdb:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A	0.4869	0.9006	1.06	0.368	0.686	0.746	606	325	299
