#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_relaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:B:C:A:a:b:c	0.2061	0.2241	8.43	0.035	0.039	0.119	1362	1224	402
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.r0.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:B:b:a:A:C:c	0.1723	0.1881	8.12	0.019	0.021	0.081	1362	1224	322
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.r1.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:A:B:a:C:b:c	0.1747	0.1909	7.80	0.016	0.018	0.069	1362	1224	319
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.r2.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:C:A:B:a:b:c	0.2114	0.2302	8.12	0.042	0.047	0.142	1362	1224	401
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.r3.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:a:A:B:C:b:c	0.1739	0.1904	7.49	0.018	0.020	0.078	1362	1224	308
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.r4.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:B:C:A:a:b:c	0.1898	0.2068	8.11	0.021	0.024	0.081	1362	1224	360
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.r5.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:C:c:a:A:B:b	0.1289	0.1405	8.77	0.015	0.016	0.081	1362	1224	248
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:C:B:A:a:b:c	0.1500	0.1626	9.76	0.024	0.027	0.104	1362	1224	318
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000.r0.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:A:C:b:B:a:c	0.1515	0.1652	8.33	0.016	0.018	0.077	1362	1224	287
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000.r1.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:C:a:A:B:b:c	0.1696	0.1854	8.15	0.016	0.018	0.070	1362	1224	313
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000.r2.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:c:B:C:A:a:b	0.1497	0.1638	7.57	0.014	0.016	0.071	1362	1224	268
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000.r3.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:B:A:C:a:b:c	0.1714	0.1865	8.79	0.016	0.018	0.065	1362	1224	337
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000.r4.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:B:A:C:a:b:c	0.1622	0.1762	9.16	0.015	0.016	0.061	1362	1224	328
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000.r5.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:C:B:A:a:b:c	0.1500	0.1626	9.76	0.024	0.027	0.104	1362	1224	318
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:C:c:A:B:a:b	0.1732	0.1893	8.56	0.022	0.025	0.092	1362	1224	325
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r0.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:A:c:b:B:C:a	0.1547	0.1687	8.46	0.018	0.020	0.082	1362	1224	294
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r1.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:c:b:A:B:C:a	0.1768	0.1924	8.85	0.016	0.018	0.063	1362	1224	347
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r2.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:C:B:A:a:b:c	0.2278	0.2475	9.20	0.023	0.025	0.067	1362	1224	461
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r3.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:B:A:c:C:a:b	0.2019	0.2204	8.23	0.021	0.024	0.077	1362	1224	377
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r4.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:A:C:B:a:b:c	0.2393	0.2598	9.34	0.027	0.030	0.076	1362	1224	490
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r5.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:C:c:A:B:a:b	0.1732	0.1893	8.56	0.022	0.025	0.092	1362	1224	325
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:B:C:A:a:b:c	0.1961	0.2122	10.07	0.017	0.019	0.054	1362	1224	426
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.r0.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:b:c:A:B:C:a	0.1614	0.1765	7.72	0.021	0.024	0.100	1362	1224	291
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.r1.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:B:C:a:A:b:c	0.1742	0.1905	7.98	0.019	0.021	0.082	1362	1224	317
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.r2.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:B:C:A:a:b:c	0.2003	0.2173	9.47	0.023	0.026	0.077	1362	1224	415
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.r3.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:B:C:A:a:b:c	0.2072	0.2245	9.94	0.035	0.038	0.107	1362	1224	441
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.r4.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:A:B:c:C:a:b	0.1901	0.2069	9.01	0.029	0.032	0.103	1362	1224	377
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.r5.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:B:C:A:a:b:c	0.1961	0.2122	10.07	0.017	0.019	0.054	1362	1224	426
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:b:C:B:A:a:c	0.1815	0.1979	8.44	0.018	0.020	0.070	1362	1224	344
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.r0.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:B:a:c:A:C:b	0.1523	0.1658	8.95	0.020	0.022	0.090	1362	1224	299
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.r1.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:B:a:c:A:C:b	0.1715	0.1873	8.29	0.018	0.020	0.075	1362	1224	321
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.r2.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:B:A:a:C:b:c	0.1729	0.1884	8.88	0.016	0.018	0.065	1362	1224	336
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.r3.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:B:A:a:C:b:c	0.1815	0.1980	8.44	0.021	0.024	0.085	1362	1224	342
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.r4.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:b:C:B:A:a:c	0.1789	0.1952	8.51	0.021	0.023	0.082	1362	1224	340
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.r5.pdb:A:B:C:::	reference_structures/7puy_clean.pdb:b:C:B:A:a:c	0.1815	0.1979	8.44	0.018	0.020	0.070	1362	1224	344
