#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_relaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:I:M:K:L:J:N	0.2181	0.2851	9.27	0.019	0.027	0.060	1395	984	450
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.r4.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:K:I:M:N:L:J	0.2133	0.2788	9.19	0.014	0.020	0.046	1395	984	439
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.r5.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:K:I:M:N:L:J	0.2128	0.2785	9.27	0.018	0.025	0.057	1395	984	438
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_002_alphafold2_multimer_v3_model_5_seed_000.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:M:I:J:K:L:N	0.1785	0.2343	8.86	0.029	0.041	0.111	1395	984	359
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_002_alphafold2_multimer_v3_model_5_seed_000.r0.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:I:J:M:L:N:K	0.1540	0.2006	9.41	0.022	0.030	0.093	1395	984	323
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_002_alphafold2_multimer_v3_model_5_seed_000.r1.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:L:K:M:I:N:J	0.1854	0.2421	9.20	0.014	0.020	0.052	1395	984	383
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_002_alphafold2_multimer_v3_model_5_seed_000.r2.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:I:K:N:L:J:M	0.1807	0.2366	8.81	0.014	0.020	0.055	1395	984	365
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_002_alphafold2_multimer_v3_model_5_seed_000.r3.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:N:M:I:K:J:L	0.1796	0.2349	9.19	0.020	0.028	0.076	1395	984	370
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_002_alphafold2_multimer_v3_model_5_seed_000.r4.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:M:I:J:K:L:N	0.1758	0.2310	8.97	0.016	0.022	0.062	1395	984	354
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_002_alphafold2_multimer_v3_model_5_seed_000.r5.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:M:I:J:K:L:N	0.1785	0.2343	8.86	0.029	0.041	0.111	1395	984	359
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:I:K:M:J:N:L	0.2046	0.2678	8.94	0.029	0.041	0.096	1395	984	415
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.r0.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:K:I:L:N:J:M	0.1616	0.2118	9.01	0.009	0.012	0.037	1395	984	328
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.r1.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:L:K:I:N:J:M	0.1412	0.1847	9.27	0.010	0.014	0.048	1395	984	291
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.r2.pdb:A:B:D:E:F:C:	reference_structures/3csy_clean.pdb:M:K:N:L:J::I	0.1774	0.2328	8.85	0.022	0.032	0.087	1395	984	357
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.r3.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:I:K:M:N:L:J	0.2446	0.3213	8.88	0.025	0.036	0.071	1395	984	491
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.r4.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:I:K:M:J:N:L	0.2139	0.2779	9.30	0.019	0.027	0.060	1395	984	449
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.r5.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:I:K:M:J:N:L	0.2046	0.2678	8.94	0.029	0.041	0.096	1395	984	415
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:K:L:I:J:M:N	0.1445	0.1882	9.62	0.008	0.011	0.036	1395	984	306
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r0.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:K:L:I:J:M:N	0.1269	0.1646	9.75	0.012	0.017	0.062	1395	984	273
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r1.pdb:A:B:C:D:E:F:	reference_structures/3csy_clean.pdb:I:J:M:N:K::L	0.1481	0.1931	9.21	0.019	0.027	0.088	1395	984	307
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r2.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:I:M:K:N:L:J	0.1725	0.2240	9.30	0.016	0.022	0.061	1395	984	362
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r3.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:M:K:I:J:N:L	0.2137	0.2834	8.37	0.024	0.035	0.083	1395	984	412
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r4.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:M:K:I:J:N:L	0.2483	0.3303	8.18	0.032	0.046	0.096	1395	984	470
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r5.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:K:L:I:J:M:N	0.1445	0.1882	9.62	0.008	0.011	0.036	1395	984	306
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:I:K:L:J:M:N	0.1795	0.2334	9.32	0.019	0.026	0.069	1395	984	377
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.r0.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:K:N:M:L:I:J	0.1504	0.1965	9.27	0.016	0.022	0.071	1395	984	311
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.r1.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:I:K:L:J:M:N	0.1600	0.2100	9.05	0.016	0.022	0.068	1395	984	324
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.r2.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:I:K:L:J:M:N	0.1680	0.2196	9.31	0.008	0.011	0.032	1395	984	347
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.r3.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:I:N:M:J:L:K	0.1932	0.2525	9.30	0.020	0.028	0.070	1395	984	400
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.r4.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:I:K:L:J:M:N	0.1648	0.2146	9.47	0.014	0.019	0.055	1395	984	346
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/EBOV/wTemp_post/EBOV_3CSY_Zaire-1976_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.r5.pdb:A:B:C:D:E:F	reference_structures/3csy_clean.pdb:I:K:L:J:M:N	0.1795	0.2334	9.32	0.019	0.026	0.069	1395	984	377
