#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/HA/default/HA_A_Aichi_2_1968_H3N2_relaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb:B:C:D:E:F:A:	reference_structures/1htm_clean.pdb:C:B:E:F:D::A	0.1056	0.3600	5.28	0.013	0.050	0.104	1509	379	182
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/HA/default/HA_A_Aichi_2_1968_H3N2_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.r0.pdb:A:C:D:E:F:B:	reference_structures/1htm_clean.pdb:C:F:D:B:A::E	0.1025	0.3462	5.50	0.007	0.026	0.056	1509	379	179
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/HA/default/HA_A_Aichi_2_1968_H3N2_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.r1.pdb:A:B:D:E:F:C:	reference_structures/1htm_clean.pdb:C:B:D:E:F::A	0.1057	0.3599	5.39	0.013	0.050	0.104	1509	379	183
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/HA/default/HA_A_Aichi_2_1968_H3N2_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.r2.pdb:A:B:D:E:F:C:	reference_structures/1htm_clean.pdb:F:E:B:C:D::A	0.1053	0.3513	5.77	0.006	0.024	0.048	1509	379	186
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/HA/default/HA_A_Aichi_2_1968_H3N2_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb:B:C:D:E:F:A:	reference_structures/1htm_clean.pdb:B:A:D:E:F::C	0.1050	0.3572	5.25	0.013	0.050	0.105	1509	379	181
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/HA/default/HA_A_Aichi_2_1968_H3N2_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r0.pdb:B:D:E:F:A:C::	reference_structures/1htm_clean.pdb:B:D:E:F:::A:C	0.1031	0.3517	5.49	0.011	0.045	0.095	1509	379	179
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/HA/default/HA_A_Aichi_2_1968_H3N2_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r1.pdb:B:D:E:F:A:C::	reference_structures/1htm_clean.pdb:B:D:E:F:::A:C	0.1041	0.3539	5.33	0.012	0.047	0.100	1509	379	180
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/HA/default/HA_A_Aichi_2_1968_H3N2_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r2.pdb:B:C:D:E:F:A:	reference_structures/1htm_clean.pdb:B:A:D:E:F::C	0.1049	0.3571	5.28	0.012	0.047	0.099	1509	379	181
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/HA/default/HA_A_Aichi_2_1968_H3N2_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r3.pdb:B:C:D:E:F:A:	reference_structures/1htm_clean.pdb:B:A:D:E:F::C	0.1050	0.3572	5.25	0.013	0.050	0.105	1509	379	181
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/HA/default/HA_A_Aichi_2_1968_H3N2_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb:B:C:D:E:F:A:	reference_structures/1htm_clean.pdb:C:B:E:F:D::A	0.1059	0.3611	5.34	0.013	0.050	0.104	1509	379	183
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/HA/default/HA_A_Aichi_2_1968_H3N2_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r0.pdb:B:D:E:F:A:C::	reference_structures/1htm_clean.pdb:B:E:F:D:::A:C	0.1033	0.3531	5.29	0.011	0.045	0.096	1509	379	178
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/HA/default/HA_A_Aichi_2_1968_H3N2_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r1.pdb:B:D:E:F:A:C::	reference_structures/1htm_clean.pdb:B:E:F:D:::A:C	0.1036	0.3520	5.48	0.011	0.045	0.094	1509	379	180
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/HA/default/HA_A_Aichi_2_1968_H3N2_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r2.pdb:A:B:D:E:F:C:	reference_structures/1htm_clean.pdb:B:A:D:E:F::C	0.1048	0.3545	5.59	0.012	0.047	0.098	1509	379	183
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/HA/default/HA_A_Aichi_2_1968_H3N2_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r3.pdb:B:C:D:E:F:A:	reference_structures/1htm_clean.pdb:C:B:E:F:D::A	0.1053	0.3602	5.19	0.013	0.050	0.105	1509	379	181
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/HA/default/HA_A_Aichi_2_1968_H3N2_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r4.pdb:B:C:D:E:F:A:	reference_structures/1htm_clean.pdb:C:B:E:F:D::A	0.1059	0.3611	5.34	0.013	0.050	0.104	1509	379	183
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/HA/default/HA_A_Aichi_2_1968_H3N2_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_000.pdb:B:D:E:F:A:C::	reference_structures/1htm_clean.pdb:B:E:F:D:::A:C	0.1036	0.3520	5.45	0.011	0.045	0.094	1509	379	180
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/HA/default/HA_A_Aichi_2_1968_H3N2_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_000.r0.pdb:B:C:D:E:F:A:	reference_structures/1htm_clean.pdb:B:A:E:F:D::C	0.1033	0.3532	5.28	0.011	0.045	0.096	1509	379	178
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/HA/default/HA_A_Aichi_2_1968_H3N2_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_000.r1.pdb:B:D:E:F:A:C::	reference_structures/1htm_clean.pdb:B:E:F:D:::A:C	0.1036	0.3522	5.46	0.011	0.045	0.094	1509	379	180
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/HA/default/HA_A_Aichi_2_1968_H3N2_unrelaxed_rank_004_alphafold2_multimer_v3_model_2_seed_000.r2.pdb:B:D:E:F:A:C::	reference_structures/1htm_clean.pdb:B:E:F:D:::A:C	0.1036	0.3520	5.45	0.011	0.045	0.094	1509	379	180
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/HA/default/HA_A_Aichi_2_1968_H3N2_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.pdb:A:D:E:F:B:C::	reference_structures/1htm_clean.pdb:B:E:F:D:::A:C	0.1048	0.3560	5.31	0.012	0.047	0.099	1509	379	181
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/HA/default/HA_A_Aichi_2_1968_H3N2_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.r0.pdb:B:C:D:E:F:A:	reference_structures/1htm_clean.pdb:A:B:F:D:E::C	0.1041	0.3563	5.25	0.012	0.047	0.101	1509	379	179
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/HA/default/HA_A_Aichi_2_1968_H3N2_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.r1.pdb:A:D:E:F:B:C::	reference_structures/1htm_clean.pdb:B:E:F:D:::A:C	0.1048	0.3560	5.31	0.012	0.047	0.099	1509	379	181
