#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_relaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:A:B	0.2464	0.1848	7.69	0.021	0.015	0.055	699	1020	272
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000.r2.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.2445	0.1839	8.30	0.027	0.019	0.068	699	1020	280
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000.r3.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.2354	0.1772	8.26	0.026	0.018	0.066	699	1020	271
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000.r4.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:B:C	0.2501	0.1881	8.40	0.027	0.019	0.066	699	1020	288
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_002_alphafold2_multimer_v3_model_1_seed_000.r5.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:B:C	0.2577	0.1938	8.42	0.030	0.021	0.071	699	1020	297
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.2202	0.1656	8.29	0.026	0.018	0.071	699	1020	252
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r0.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:B:C	0.2197	0.1656	8.52	0.019	0.013	0.051	699	1020	257
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r1.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:C:A	0.2499	0.1860	7.95	0.021	0.015	0.055	699	1020	272
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r2.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.2293	0.1704	7.74	0.020	0.014	0.057	699	1020	247
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r3.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.2251	0.1698	8.47	0.024	0.017	0.065	699	1020	263
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r4.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:C:A	0.2214	0.1667	8.22	0.027	0.019	0.075	699	1020	253
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r5.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.2202	0.1656	8.29	0.026	0.018	0.071	699	1020	252
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.2287	0.1718	7.93	0.014	0.010	0.039	699	1020	257
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r0.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:A:B	0.2249	0.1698	8.51	0.026	0.018	0.068	699	1020	264
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r1.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:B:C	0.1948	0.1464	8.32	0.013	0.009	0.040	699	1020	223
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r2.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.2335	0.1756	8.06	0.024	0.017	0.064	699	1020	265
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r3.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:A:B	0.2274	0.1710	8.33	0.020	0.014	0.054	699	1020	261
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r4.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:C:A	0.2284	0.1714	8.23	0.026	0.018	0.069	699	1020	259
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r5.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.2287	0.1718	7.93	0.014	0.010	0.039	699	1020	257
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.2160	0.1641	8.76	0.029	0.020	0.076	699	1020	262
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.r0.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:A:B	0.1995	0.1498	8.39	0.024	0.017	0.075	699	1020	228
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.r1.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:B:A	0.2346	0.1772	8.46	0.036	0.025	0.091	699	1020	275
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.r2.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:C:A	0.2048	0.1549	8.53	0.026	0.018	0.074	699	1020	242
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.r3.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:A:B	0.2076	0.1564	8.57	0.019	0.013	0.053	699	1020	243
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.r4.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.2125	0.1607	8.53	0.019	0.013	0.052	699	1020	251
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_cropped_seq/LUJV/wTemp_post/LUJO_YP2929490_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.r5.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.2160	0.1641	8.76	0.029	0.020	0.076	699	1020	262
