#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_relaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb:A:B:C	reference_structures/9ghj_clean.pdb:B:A:C	0.7692	0.9189	2.99	0.379	0.456	0.464	1170	972	954
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.r0.pdb:A:B:C	reference_structures/9ghj_clean.pdb:A:C:B	0.7658	0.9140	3.05	0.378	0.455	0.463	1170	972	954
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.r1.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:B:A	0.7610	0.9082	3.22	0.378	0.455	0.465	1170	972	951
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.r2.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:B:A	0.7686	0.9183	3.00	0.374	0.451	0.460	1170	972	952
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.r3.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:B:A	0.7640	0.9124	3.12	0.372	0.448	0.457	1170	972	951
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.r4.pdb:A:B:C	reference_structures/9ghj_clean.pdb:A:C:B	0.7601	0.9068	3.35	0.372	0.448	0.456	1170	972	954
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.r5.pdb:A:B:C	reference_structures/9ghj_clean.pdb:B:A:C	0.7694	0.9191	2.98	0.379	0.456	0.464	1170	972	954
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_002_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C	reference_structures/9ghj_clean.pdb:B:C:A	0.7628	0.9103	3.02	0.378	0.455	0.465	1170	972	951
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_002_alphafold2_multimer_v3_model_2_seed_000.r0.pdb:A:B:C	reference_structures/9ghj_clean.pdb:A:B:C	0.7475	0.8902	3.59	0.368	0.443	0.454	1170	972	950
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_002_alphafold2_multimer_v3_model_2_seed_000.r1.pdb:A:B:C	reference_structures/9ghj_clean.pdb:B:C:A	0.7711	0.9212	2.89	0.371	0.447	0.455	1170	972	954
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_002_alphafold2_multimer_v3_model_2_seed_000.r2.pdb:A:B:C	reference_structures/9ghj_clean.pdb:B:C:A	0.7753	0.9263	2.86	0.357	0.430	0.436	1170	972	959
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_002_alphafold2_multimer_v3_model_2_seed_000.r3.pdb:A:B:C	reference_structures/9ghj_clean.pdb:B:C:A	0.7726	0.9232	2.79	0.377	0.454	0.462	1170	972	954
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_002_alphafold2_multimer_v3_model_2_seed_000.r4.pdb:A:B:C	reference_structures/9ghj_clean.pdb:A:B:C	0.7697	0.9192	2.88	0.374	0.451	0.459	1170	972	954
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_002_alphafold2_multimer_v3_model_2_seed_000.r5.pdb:A:B:C	reference_structures/9ghj_clean.pdb:B:C:A	0.7628	0.9103	3.02	0.378	0.455	0.465	1170	972	951
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:C	reference_structures/9ghj_clean.pdb:A:C:B	0.7509	0.8942	3.40	0.389	0.468	0.478	1170	972	951
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r0.pdb:A:B:C	reference_structures/9ghj_clean.pdb:A:C:B	0.7585	0.9058	3.09	0.377	0.454	0.468	1170	972	943
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r1.pdb:A:B:C	reference_structures/9ghj_clean.pdb:A:C:B	0.7642	0.9131	2.89	0.373	0.449	0.461	1170	972	945
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r2.pdb:A:B:C	reference_structures/9ghj_clean.pdb:A:C:B	0.7206	0.8555	4.02	0.373	0.449	0.465	1170	972	937
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r3.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:B:A	0.7396	0.8791	3.75	0.381	0.459	0.469	1170	972	951
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r4.pdb:A:B:C	reference_structures/9ghj_clean.pdb:B:A:C	0.7544	0.8988	3.29	0.391	0.470	0.481	1170	972	951
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r5.pdb:A:B:C	reference_structures/9ghj_clean.pdb:A:C:B	0.7509	0.8942	3.40	0.389	0.468	0.478	1170	972	951
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:A:B	0.7185	0.8521	4.28	0.364	0.438	0.451	1170	972	945
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r0.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:A:B	0.7577	0.9037	3.27	0.385	0.463	0.473	1170	972	951
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r1.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:A:B	0.7620	0.9094	3.14	0.384	0.462	0.472	1170	972	952
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r2.pdb:A:B:C	reference_structures/9ghj_clean.pdb:A:B:C	0.7244	0.8598	4.10	0.365	0.439	0.452	1170	972	945
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r3.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:A:B	0.7045	0.8337	4.69	0.364	0.438	0.451	1170	972	945
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r4.pdb:A:B:C	reference_structures/9ghj_clean.pdb:A:B:C	0.7102	0.8410	4.51	0.367	0.441	0.454	1170	972	945
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r5.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:A:B	0.7185	0.8521	4.28	0.364	0.438	0.451	1170	972	945
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:B:A	0.7407	0.8806	3.67	0.387	0.466	0.477	1170	972	950
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.r0.pdb:A:B:C	reference_structures/9ghj_clean.pdb:B:A:C	0.7619	0.9089	3.17	0.376	0.453	0.462	1170	972	953
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.r1.pdb:A:B:C	reference_structures/9ghj_clean.pdb:B:A:C	0.7705	0.9205	2.91	0.376	0.453	0.461	1170	972	954
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.r2.pdb:A:B:C	reference_structures/9ghj_clean.pdb:B:A:C	0.7370	0.8760	3.77	0.380	0.458	0.469	1170	972	948
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.r3.pdb:A:B:C	reference_structures/9ghj_clean.pdb:A:C:B	0.7216	0.8561	4.19	0.368	0.442	0.455	1170	972	945
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.r4.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:B:A	0.7302	0.8672	3.96	0.362	0.436	0.448	1170	972	947
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/default/CHAVB-2003_unrelaxed_rank_005_alphafold2_multimer_v3_model_3_seed_000.r5.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:B:A	0.7407	0.8806	3.67	0.387	0.466	0.477	1170	972	950
