#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_relaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:B:C	0.5479	0.7165	4.22	0.420	0.561	0.692	1362	1020	826
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.r3.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:C:A	0.5263	0.6811	5.19	0.507	0.676	0.826	1362	1020	835
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.r4.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:B:C	0.5365	0.6968	4.82	0.517	0.690	0.843	1362	1020	835
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000.r5.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:C:A	0.5476	0.7159	4.28	0.427	0.571	0.704	1362	1020	827
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:B:A	0.5459	0.7112	4.65	0.559	0.746	0.906	1362	1020	840
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r0.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.4842	0.6242	6.47	0.450	0.601	0.761	1362	1020	806
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r1.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.5367	0.6997	5.12	0.549	0.733	0.898	1362	1020	833
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r2.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.5463	0.7119	4.65	0.550	0.734	0.892	1362	1020	840
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r3.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:B:A	0.5506	0.7183	4.43	0.559	0.747	0.907	1362	1020	840
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r4.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.5487	0.7155	4.74	0.555	0.741	0.896	1362	1020	844
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r5.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:B:A	0.5459	0.7112	4.65	0.559	0.746	0.906	1362	1020	840
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.5282	0.6863	4.83	0.402	0.536	0.666	1362	1020	821
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r0.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.4684	0.6049	5.72	0.298	0.398	0.535	1362	1020	759
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r1.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.5402	0.7039	4.60	0.374	0.500	0.615	1362	1020	829
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r2.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.5106	0.6603	5.26	0.365	0.487	0.611	1362	1020	814
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r3.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.5295	0.6881	4.77	0.395	0.527	0.655	1362	1020	822
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r4.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.5340	0.6949	4.61	0.411	0.549	0.680	1362	1020	823
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_003_alphafold2_multimer_v3_model_5_seed_000.r5.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.5282	0.6863	4.83	0.402	0.536	0.666	1362	1020	821
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:A:B	0.4986	0.6466	5.34	0.490	0.655	0.847	1362	1020	789
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r0.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:B:A	0.3223	0.4102	6.87	0.250	0.333	0.604	1362	1020	563
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r1.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:B:A	0.3198	0.4087	7.30	0.193	0.258	0.469	1362	1020	561
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r2.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:A:B	0.4561	0.5814	7.05	0.414	0.553	0.706	1362	1020	799
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r3.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:C:A	0.4911	0.6273	6.28	0.492	0.657	0.802	1362	1020	835
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r4.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:A:B	0.5338	0.6921	5.20	0.563	0.752	0.909	1362	1020	844
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r5.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:A:B	0.4986	0.6466	5.34	0.490	0.655	0.847	1362	1020	789
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.4191	0.5398	6.77	0.385	0.515	0.745	1362	1020	705
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.r0.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:B:A	0.3592	0.4568	7.21	0.330	0.441	0.705	1362	1020	638
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.r1.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:B:C	0.2372	0.3010	8.06	0.123	0.164	0.382	1362	1020	437
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.r2.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:B:C	0.2599	0.3303	7.93	0.139	0.185	0.398	1362	1020	475
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.r3.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.4205	0.5410	6.53	0.348	0.465	0.673	1362	1020	704
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.r4.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.4225	0.5435	6.71	0.363	0.485	0.695	1362	1020	712
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/wTemp_pre/LUJO_YP2929490_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.r5.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.4191	0.5398	6.77	0.385	0.515	0.745	1362	1020	705
