#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_relaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.5792	0.7618	3.28	0.576	0.769	0.929	1362	1020	844
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.r1.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.5560	0.7268	4.44	0.540	0.721	0.872	1362	1020	843
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.r2.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.4973	0.6404	5.85	0.394	0.525	0.658	1362	1020	815
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.r3.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.5012	0.6456	5.78	0.397	0.530	0.660	1362	1020	820
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.r4.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:B:A	0.5646	0.7404	3.72	0.469	0.626	0.764	1362	1020	836
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.r5.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.5804	0.7634	3.31	0.584	0.780	0.941	1362	1020	846
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:B:A	0.5286	0.6842	5.14	0.558	0.745	0.907	1362	1020	838
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r0.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.5471	0.7132	4.97	0.568	0.758	0.914	1362	1020	846
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r1.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:B:A	0.5650	0.7379	4.05	0.601	0.802	0.961	1362	1020	851
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r2.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:B:A	0.5214	0.6733	5.47	0.545	0.727	0.884	1362	1020	839
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r3.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:B:A	0.5441	0.7067	4.62	0.579	0.773	0.935	1362	1020	843
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r4.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:B:A	0.5447	0.7077	4.65	0.580	0.775	0.936	1362	1020	844
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r5.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:B:A	0.5286	0.6842	5.14	0.558	0.745	0.907	1362	1020	838
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.5529	0.7278	3.75	0.557	0.744	0.937	1362	1020	810
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.r0.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.5492	0.7193	4.40	0.527	0.704	0.868	1362	1020	827
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.r1.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:B:A	0.5556	0.7288	4.52	0.548	0.731	0.894	1362	1020	834
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.r2.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.5611	0.7352	4.43	0.560	0.748	0.903	1362	1020	845
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.r3.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.5497	0.7216	4.19	0.568	0.758	0.945	1362	1020	818
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.r4.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:B:A	0.5520	0.7249	4.21	0.558	0.745	0.926	1362	1020	821
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_003_alphafold2_multimer_v3_model_2_seed_000.r5.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.5529	0.7278	3.75	0.557	0.744	0.937	1362	1020	810
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.5433	0.7093	4.62	0.570	0.761	0.936	1362	1020	829
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000.r0.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.5524	0.7219	4.25	0.523	0.698	0.854	1362	1020	834
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000.r1.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.5402	0.7039	4.84	0.571	0.763	0.934	1362	1020	833
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000.r2.pdb:A:B:C	reference_structures/8p4t_clean.pdb:A:C:B	0.5548	0.7256	4.33	0.573	0.765	0.931	1362	1020	838
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000.r3.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:B:A	0.5387	0.7021	4.79	0.576	0.770	0.947	1362	1020	829
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000.r4.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:B:A	0.5394	0.7034	4.80	0.544	0.726	0.894	1362	1020	829
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_004_alphafold2_multimer_v3_model_1_seed_000.r5.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.5433	0.7093	4.62	0.570	0.761	0.936	1362	1020	829
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.4820	0.6192	6.11	0.446	0.596	0.759	1362	1020	801
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.r0.pdb:A:B:C	reference_structures/8p4t_clean.pdb:C:B:A	0.5105	0.6606	5.63	0.493	0.659	0.821	1362	1020	819
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.r1.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.5275	0.6883	4.89	0.537	0.717	0.900	1362	1020	812
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.r2.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.4364	0.5545	7.24	0.355	0.475	0.621	1362	1020	779
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.r3.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.4688	0.5999	6.44	0.430	0.575	0.736	1362	1020	796
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.r4.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.4857	0.6238	6.00	0.466	0.623	0.789	1362	1020	805
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/LUJV/default/LUJO_YP2929490_unrelaxed_rank_005_alphafold2_multimer_v3_model_4_seed_000.r5.pdb:A:B:C	reference_structures/8p4t_clean.pdb:B:A:C	0.4820	0.6192	6.11	0.446	0.596	0.759	1362	1020	801
