#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_relaxed_rank_001_alphafold2_multimer_v3_model_2_seed_000.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:B:A	0.3079	0.3582	7.95	0.045	0.055	0.106	1170	972	499
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r1.pdb:A:B:C	reference_structures/9ghj_clean.pdb:B:C:A	0.2578	0.3013	7.39	0.043	0.051	0.125	1170	972	400
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r2.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:A:B	0.2500	0.2898	8.06	0.055	0.066	0.155	1170	972	414
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r3.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:A:B	0.2525	0.2956	7.29	0.042	0.050	0.127	1170	972	387
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r4.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:A:B	0.2493	0.2915	7.27	0.038	0.046	0.117	1170	972	383
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r5.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:A:B	0.2505	0.2934	7.20	0.046	0.056	0.142	1170	972	381
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:B:A	0.3199	0.3724	8.22	0.045	0.055	0.102	1170	972	522
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.r0.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:B:A	0.3119	0.3616	8.16	0.056	0.067	0.126	1170	972	516
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.r1.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:B:A	0.2976	0.3474	7.84	0.047	0.057	0.117	1170	972	471
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.r2.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:B:A	0.3172	0.3692	8.04	0.044	0.052	0.099	1170	972	514
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.r3.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:B:A	0.3267	0.3805	7.97	0.044	0.053	0.099	1170	972	526
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.r4.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:B:A	0.3211	0.3748	7.71	0.046	0.056	0.107	1170	972	507
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_004_alphafold2_multimer_v3_model_3_seed_000.r5.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:B:A	0.3199	0.3724	8.22	0.045	0.055	0.102	1170	972	522
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:A:B	0.2385	0.2763	8.46	0.034	0.041	0.100	1170	972	402
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.r0.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:B:A	0.3913	0.4588	6.42	0.078	0.094	0.158	1170	972	575
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.r1.pdb:A:B:C	reference_structures/9ghj_clean.pdb:B:A:C	0.3440	0.3991	8.10	0.062	0.074	0.127	1170	972	565
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.r2.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:B:A	0.3294	0.3818	8.07	0.060	0.072	0.128	1170	972	545
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.r3.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:A:B	0.2401	0.2794	7.62	0.027	0.033	0.084	1170	972	383
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.r4.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:A:B	0.2332	0.2704	8.16	0.032	0.038	0.096	1170	972	387
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/CHAV/wTemp_post/CHAVB-2003_unrelaxed_rank_005_alphafold2_multimer_v3_model_5_seed_000.r5.pdb:A:B:C	reference_structures/9ghj_clean.pdb:C:A:B	0.2385	0.2763	8.46	0.034	0.041	0.100	1170	972	402
