#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_relaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B:::	0.0684	0.2364	5.40	0.006	0.025	0.074	1356	325	108
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.r4.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:B:C:::	0.0746	0.2635	4.91	0.004	0.018	0.052	1356	325	115
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_001_alphafold2_multimer_v3_model_5_seed_000.r5.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:C:A:B:::	0.0744	0.2575	5.09	0.007	0.028	0.078	1356	325	116
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A:::	0.0716	0.2436	5.50	0.004	0.018	0.053	1356	325	114
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r0.pdb:A:D:F:B:C:E	reference_structures/4g2k_clean.pdb:A:B:C:::	0.0770	0.2508	5.76	0.009	0.037	0.095	1356	325	126
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r1.pdb:A:D:E:B:C:F	reference_structures/4g2k_clean.pdb:B:A:C:::	0.0720	0.2404	5.46	0.006	0.025	0.070	1356	325	115
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r2.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:C:A:B:::	0.0749	0.2635	5.00	0.007	0.028	0.078	1356	325	116
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r3.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:B:C:A:::	0.0757	0.2626	5.13	0.008	0.034	0.093	1356	325	118
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r4.pdb:C:D:F:A:B:E	reference_structures/4g2k_clean.pdb:B:C:A:::	0.0718	0.2371	5.67	0.005	0.022	0.060	1356	325	116
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_002_alphafold2_multimer_v3_model_3_seed_000.r5.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A:::	0.0716	0.2436	5.50	0.004	0.018	0.053	1356	325	114
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:B:C:::	0.0752	0.2630	5.13	0.007	0.028	0.077	1356	325	117
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r0.pdb:B:E:F:A:C:D	reference_structures/4g2k_clean.pdb:B:C:A:::	0.0717	0.2287	6.27	0.010	0.040	0.108	1356	325	120
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r1.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:B:C:A:::	0.0748	0.2663	4.89	0.007	0.031	0.087	1356	325	115
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r2.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A:::	0.0689	0.2379	5.45	0.005	0.022	0.064	1356	325	109
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r3.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A:::	0.0705	0.2433	5.52	0.004	0.018	0.054	1356	325	112
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r4.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B:::	0.0715	0.2435	5.53	0.004	0.018	0.053	1356	325	114
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_003_alphafold2_multimer_v3_model_1_seed_000.r5.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:B:C:::	0.0752	0.2630	5.13	0.007	0.028	0.077	1356	325	117
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:B:C:::	0.0733	0.2597	4.66	0.004	0.018	0.054	1356	325	112
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r0.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:B:C:A:::	0.0714	0.2466	5.14	0.007	0.031	0.089	1356	325	112
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r1.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:B:A:C:::	0.0717	0.2449	5.70	0.007	0.028	0.078	1356	325	115
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r2.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:C:B:A:::	0.0706	0.2425	5.47	0.007	0.031	0.089	1356	325	112
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r3.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B:::	0.0703	0.2414	5.57	0.005	0.022	0.062	1356	325	112
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r4.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B:::	0.0712	0.2418	5.83	0.003	0.012	0.035	1356	325	115
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_004_alphafold2_multimer_v3_model_4_seed_000.r5.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:B:C:::	0.0733	0.2597	4.66	0.004	0.018	0.054	1356	325	112
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:C:A:B:::	0.0746	0.2597	5.05	0.003	0.012	0.034	1356	325	116
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.r0.pdb:A:C:D:B:E:F	reference_structures/4g2k_clean.pdb:A:B:C:::	0.0579	0.1953	5.60	0.002	0.009	0.032	1356	325	93
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.r1.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:C:A:B:::	0.0773	0.2665	5.36	0.010	0.040	0.107	1356	325	122
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.r2.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:B:C:::	0.0756	0.2642	5.20	0.007	0.028	0.076	1356	325	118
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.r3.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:A:C:B:::	0.0704	0.2420	5.57	0.005	0.022	0.062	1356	325	112
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.r4.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:B:A:C:::	0.0700	0.2414	5.48	0.005	0.022	0.063	1356	325	111
#PDBchain1	PDBchain2	TM1	TM2	RMSD	ID1	ID2	IDali	L1	L2	Lali
outputs_full-length_seq/MARV/wTemp_all/MARV_6BP2_RAVN-87_unrelaxed_rank_005_alphafold2_multimer_v3_model_2_seed_000.r5.pdb:D:E:F:A:B:C	reference_structures/4g2k_clean.pdb:C:A:B:::	0.0746	0.2597	5.05	0.003	0.012	0.034	1356	325	116
